REF_DATE,Date,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,Lat,Long,TERMINATED,DECIMALS
2006,2007,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2672,53,-70,,0
2006,2007,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16003,53,-70,,0
2006,2007,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13035,53,-70,,0
2006,2007,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6691,50,-85,,0
2006,2007,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,11019,50,-85,,0
2006,2007,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,18873,50,-85,,0
2006,2007,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19631,50,-85,,0
2006,2007,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4308,56.415211,-98.739075,,0
2006,2007,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,6004,56.415211,-98.739075,,0
2006,2007,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,11839,56.415211,-98.739075,,0
2006,2007,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11462,56.415211,-98.739075,,0
2006,2007,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6196,55,-106,,0
2006,2007,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3682,55,-106,,0
2006,2007,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,13464,55,-106,,0
2006,2007,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3951,55,-106,,0
2006,2007,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6182,55,-115,,0
2006,2007,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7125,55,-115,,0
2006,2007,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16376,55,-115,,0
2006,2007,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,12551.00,55,-115,,0
2006,2007,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6152,53.726669,-127.647621,,0
2006,2007,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,7275,53.726669,-127.647621,,0
2006,2007,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20200,53.726669,-127.647621,,0
2006,2007,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,11542,53.726669,-127.647621,,0
2007,2008,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3343,53.135509,-57.660435,,0
2007,2008,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,4681,53.135509,-57.660435,,0
2007,2008,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12190,53.135509,-57.660435,,0
2007,2008,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4399,53.135509,-57.660435,,0
2007,2008,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5639,46.25,-63,,0
2007,2008,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3651,46.25,-63,,0
2007,2008,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11125,46.25,-63,,0
2007,2008,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7687,46.25,-63,,0
2007,2008,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7759,45,-63,,0
2007,2008,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9343,45,-63,,0
2007,2008,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15717,45,-63,,0
2007,2008,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18882,45,-63,,0
2007,2008,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,46.49839,-66.159668,,0
2007,2008,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6501,46.49839,-66.159668,,0
2007,2008,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13957,46.49839,-66.159668,,0
2007,2008,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11648,46.49839,-66.159668,,0
2007,2008,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2611,53,-70,,0
2007,2008,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3010,53,-70,,0
2007,2008,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,15939,53,-70,,0
2007,2008,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13915,53,-70,,0
2007,2008,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6843,50,-85,,0
2007,2008,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10777,50,-85,,0
2007,2008,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,19995,50,-85,,0
2007,2008,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19599,50,-85,,0
2007,2008,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4154,56.415211,-98.739075,,0
2007,2008,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5844,56.415211,-98.739075,,0
2007,2008,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,10740,56.415211,-98.739075,,0
2007,2008,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11047,56.415211,-98.739075,,0
2007,2008,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6369,55,-106,,0
2007,2008,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4487,55,-106,,0
2007,2008,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,12959,55,-106,,0
2007,2008,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4719,55,-106,,0
2007,2008,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6505,55,-115,,0
2007,2008,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7810,55,-115,,0
2007,2008,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16902,55,-115,,0
2007,2008,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,14305.00,55,-115,,0
2007,2008,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6251,53.726669,-127.647621,,0
2007,2008,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8167,53.726669,-127.647621,,0
2007,2008,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20907,53.726669,-127.647621,,0
2007,2008,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,17622,53.726669,-127.647621,,0
2008,2009,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3250,53.135509,-57.660435,,0
2008,2009,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3032,53.135509,-57.660435,,0
2008,2009,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11569,53.135509,-57.660435,,0
2008,2009,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3456,53.135509,-57.660435,,0
2008,2009,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5622,46.25,-63,,0
2008,2009,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3307,46.25,-63,,0
2008,2009,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11095,46.25,-63,,0
2008,2009,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7630,46.25,-63,,0
2008,2009,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7293,45,-63,,0
2008,2009,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9598,45,-63,,0
2008,2009,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15395,45,-63,,0
2008,2009,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17986,45,-63,,0
2008,2009,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6800,46.49839,-66.159668,,0
2008,2009,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6292,46.49839,-66.159668,,0
2008,2009,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13618,46.49839,-66.159668,,0
2008,2009,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11120,46.49839,-66.159668,,0
2008,2009,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2705,53,-70,,0
2008,2009,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2754,53,-70,,0
2008,2009,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16376,53,-70,,0
2008,2009,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,14081,53,-70,,0
2008,2009,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7033,50,-85,,0
2008,2009,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10246,50,-85,,0
2008,2009,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,20962,50,-85,,0
2008,2009,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18966,50,-85,,0
2008,2009,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4018,56.415211,-98.739075,,0
2008,2009,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4722,56.415211,-98.739075,,0
2008,2009,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,12025,56.415211,-98.739075,,0
2008,2009,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9895,56.415211,-98.739075,,0
2008,2009,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6285,55,-106,,0
2008,2009,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3428,55,-106,,0
2008,2009,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,12987,55,-106,,0
2008,2009,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3119,55,-106,,0
2008,2009,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6587,55,-115,,0
2008,2009,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,6141,55,-115,,0
2008,2009,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,17869,55,-115,,0
2008,2009,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11571.00,55,-115,,0
2008,2009,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5890,53.726669,-127.647621,,0
2008,2009,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8986,53.726669,-127.647621,,0
2008,2009,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,19084,53.726669,-127.647621,,0
2008,2009,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,17220,53.726669,-127.647621,,0
2009,2010,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3248,53.135509,-57.660435,,0
2009,2010,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3042,53.135509,-57.660435,,0
2009,2010,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12766,53.135509,-57.660435,,0
2009,2010,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3453,53.135509,-57.660435,,0
2009,2010,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6150,46.25,-63,,0
2009,2010,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,5064,46.25,-63,,0
2009,2010,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28278,46.25,-63,,0
2009,2010,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,9794,46.25,-63,,0
2009,2010,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7120,45,-63,,0
2009,2010,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9532,45,-63,,0
2009,2010,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15390,45,-63,,0
2009,2010,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18047,45,-63,,0
2009,2010,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6827,46.49839,-66.159668,,0
2009,2010,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6280,46.49839,-66.159668,,0
2009,2010,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13922,46.49839,-66.159668,,0
2009,2010,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11113,46.49839,-66.159668,,0
2009,2010,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2858,53,-70,,0
2009,2010,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3024,53,-70,,0
2009,2010,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,18403,53,-70,,0
2009,2010,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,15845,53,-70,,0
2009,2010,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7408,50,-85,,0
2009,2010,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,7743,50,-85,,0
2009,2010,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,22343,50,-85,,0
2009,2010,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,17502,50,-85,,0
2009,2010,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4218,56.415211,-98.739075,,0
2009,2010,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4872,56.415211,-98.739075,,0
2009,2010,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,13821,56.415211,-98.739075,,0
2009,2010,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9672,56.415211,-98.739075,,0
2009,2010,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6403,55,-106,,0
2009,2010,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3870,55,-106,,0
2009,2010,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,15618,55,-106,,0
2009,2010,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3466,55,-106,,0
2009,2010,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6486,55,-115,,0
2009,2010,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5690,55,-115,,0
2009,2010,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21522,55,-115,,0
2009,2010,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11477.00,55,-115,,0
2009,2010,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5825,53.726669,-127.647621,,0
2009,2010,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,7711,53.726669,-127.647621,,0
2009,2010,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20046,53.726669,-127.647621,,0
2009,2010,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,12123,53.726669,-127.647621,,0
2010,2011,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3220,53.135509,-57.660435,,0
2010,2011,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2985,53.135509,-57.660435,,0
2010,2011,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11860,53.135509,-57.660435,,0
2010,2011,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3391,53.135509,-57.660435,,0
2010,2011,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6236,46.25,-63,,0
2010,2011,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,4756,46.25,-63,,0
2010,2011,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28365,46.25,-63,,0
2010,2011,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,9755,46.25,-63,,0
2010,2011,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6681,45,-63,,0
2010,2011,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,8699,45,-63,,0
2010,2011,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15112,45,-63,,0
2010,2011,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17411,45,-63,,0
2010,2011,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6864,46.49839,-66.159668,,0
2010,2011,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6119,46.49839,-66.159668,,0
2010,2011,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14172,46.49839,-66.159668,,0
2010,2011,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,10897,46.49839,-66.159668,,0
2010,2011,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2930,53,-70,,0
2010,2011,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3161,53,-70,,0
2010,2011,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,19446,53,-70,,0
2010,2011,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,17774,53,-70,,0
2010,2011,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7677,50,-85,,0
2010,2011,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,8728,50,-85,,0
2010,2011,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,23213,50,-85,,0
2010,2011,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18135,50,-85,,0
2010,2011,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4367,56.415211,-98.739075,,0
2010,2011,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5022,56.415211,-98.739075,,0
2010,2011,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,14286,56.415211,-98.739075,,0
2010,2011,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9972,56.415211,-98.739075,,0
2010,2011,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6601,55,-106,,0
2010,2011,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4174,55,-106,,0
2010,2011,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,16791,55,-106,,0
2010,2011,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4275,55,-106,,0
2010,2011,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6691,55,-115,,0
2010,2011,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,5679,55,-115,,0
2010,2011,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,21455,55,-115,,0
2010,2011,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,11435.00,55,-115,,0
2010,2011,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,5783,53.726669,-127.647621,,0
2010,2011,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8725,53.726669,-127.647621,,0
2010,2011,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20869,53.726669,-127.647621,,0
2010,2011,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,13285,53.726669,-127.647621,,0
2011,2012,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3128,53.135509,-57.660435,,0
2011,2012,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2900,53.135509,-57.660435,,0
2011,2012,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11524,53.135509,-57.660435,,0
2011,2012,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3294,53.135509,-57.660435,,0
2011,2012,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6210,46.25,-63,,0
2011,2012,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,4714,46.25,-63,,0
2011,2012,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,28640,46.25,-63,,0
2011,2012,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,11066,46.25,-63,,0
2011,2012,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,6758,45,-63,,0
2011,2012,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,8771,45,-63,,0
2011,2012,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15216,45,-63,,0
2011,2012,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17799,45,-63,,0
2011,2012,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6765,46.49839,-66.159668,,0
2011,2012,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6210,46.49839,-66.159668,,0
2011,2012,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,14290,46.49839,-66.159668,,0
2011,2012,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,10866,46.49839,-66.159668,,0
2011,2012,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2976,53,-70,,0
